name,latitude,longitude,iata_code,display_name
"Muskogee-Davis Regional Airport, OK, USA",35.660957,-95.359558,MKO," - Muskogee-Davis Regional Airport, OK, USA"
"Nashville International Airport (BNA), Nashville, TN, USA",36.131687,-86.668823,BNA,"BNA - Nashville International Airport (BNA), Nashville, TN, USA"
"Newark Liberty International Airport, NJ, USA",40.689491,-74.174538,EWR," - Newark Liberty International Airport, NJ, USA"
"North Las Vegas Airport, NV, USA",36.213257,-115.194572,VGT," - North Las Vegas Airport, NV, USA"
"Northern Lights Airport, Alburgh, VT, USA",44.871201,-73.286491,9B1," - Northern Lights Airport, Alburgh, VT, USA"
"O-Hare International Airport, Chicago, IL, USA",41.978611,-87.904724,ORD," - O-Hare International Airport, Chicago, IL, USA"
"Orlando International Airport, FL, USA",28.424618,-81.310753,MCO," - Orlando International Airport, FL, USA"
"Philadelphia International Airport, PA, USA",39.87294,-75.243988,PHL," - Philadelphia International Airport, PA, USA"
"Phoenix Sky Harbor International Airport, AZ, USA",33.435249,-112.010216,PHX," - Phoenix Sky Harbor International Airport, AZ, USA"
"Pocatello Regional Airport, ID, USA",42.905575,-112.588776,PIH," - Pocatello Regional Airport, ID, USA"
"Preston Smith International Airport, Lubbock, TX, USA",33.656384,-101.821861,LBB," - Preston Smith International Airport, Lubbock, TX, USA"
"San Diego International Airport (SAN), San Diego, CA, USA",32.73177,-117.197624,SAN,"SAN - San Diego International Airport (SAN), San Diego, CA, USA"
"San Francisco International Airport, USA",37.615223,-122.389977,SFO," - San Francisco International Airport, USA"
"Santa Fe Municipal Airport (SAF), Santa Fe, NM, USA",35.6175,-106.088333,SAF,"SAF - Santa Fe Municipal Airport (SAF), Santa Fe, NM, USA"
"Seattle-Tacoma International Airport, WA, USA",47.443546,-122.301659,SEA," - Seattle-Tacoma International Airport, WA, USA"
"Spruce Creek Airport, FL, USA",29.080168,-81.046669,7FL6," - Spruce Creek Airport, FL, USA"
"St. George Regional Airport, UT, USA",37.030792,-113.508987,SGU," - St. George Regional Airport, UT, USA"
"Tampa International Airport, Tampa, FL, USA",27.979168,-82.539337,TPA," - Tampa International Airport, Tampa, FL, USA"
"Travis AFB, CA, USA",38.272118,-121.939857,SUU," - Travis AFB, CA, USA"
"Tucson International Airport, AZ, USA",32.116112,-110.941109,TUS," - Tucson International Airport, AZ, USA"
"Unalakleet Airport, AK, USA",63.889515,-160.799927,UNK," - Unalakleet Airport, AK, USA"
"Warrenton-Fauquier Airport (KHWY), Midland, VA, USA",38.592724,-77.711441,HWY," - Warrenton-Fauquier Airport (KHWY), Midland, VA, USA"
"Wright-Patterson Air Force Base, OH, USA",39.819527,-84.067406,FFO," - Wright-Patterson Air Force Base, OH, USA"
